,Levels,POS,T_IDX,Trigram,Word,Words,Visemes,Trigram_Visemes
10,"{'A1': ['A1', 'A2'], 'A2': ['A1'], 'B1': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",can,"{'also': ['it', 'which'], 'how': ['me'], 'therefore': ['it']}","['k', 'e', 't']","{""['e', 'l', 's', 'e']"": [['e', 't'], ['w', 'e', 's']], ""['e', 'e']"": [['b', 'i']], ""['th', 'e', 'r', 'f', 'e', 'r']"": [['e', 't']]}"
11,"{'A1': ['A1', 'A2'], 'A2': ['A1'], 'B1': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",can,"{'also': ['it', 'which'], 'how': ['me'], 'therefore': ['it']}","['k', 'e', 't']","{""['e', 'l', 's', 'e']"": [['e', 't'], ['w', 'e', 's']], ""['e', 'e']"": [['b', 'i']], ""['th', 'e', 'r', 'f', 'e', 'r']"": [['e', 't']]}"
12,"{'A1': ['A1', 'A2'], 'A2': ['A1'], 'B1': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",can,"{'also': ['it', 'which'], 'how': ['me'], 'therefore': ['it']}","['k', 'e', 't']","{""['e', 'l', 's', 'e']"": [['e', 't'], ['w', 'e', 's']], ""['e', 'e']"": [['b', 'i']], ""['th', 'e', 'r', 'f', 'e', 'r']"": [['e', 't']]}"
13,"{'A1': ['A1', 'A2'], 'A2': ['A1'], 'B1': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",can,"{'also': ['it', 'which'], 'how': ['me'], 'therefore': ['it']}","['k', 'e', 't']","{""['e', 'l', 's', 'e']"": [['e', 't'], ['w', 'e', 's']], ""['e', 'e']"": [['b', 'i']], ""['th', 'e', 'r', 'f', 'e', 'r']"": [['e', 't']]}"
14,"{'A1': ['A1', 'A2'], 'A2': ['A1'], 'B1': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",can,"{'also': ['it', 'which'], 'how': ['me'], 'therefore': ['it']}","['k', 'e', 't']","{""['e', 'l', 's', 'e']"": [['e', 't'], ['w', 'e', 's']], ""['e', 'e']"": [['b', 'i']], ""['th', 'e', 'r', 'f', 'e', 'r']"": [['e', 't']]}"
15,"{'A1': ['A1', 'A2'], 'A2': ['A1'], 'B1': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",can,"{'also': ['it', 'which'], 'how': ['me'], 'therefore': ['it']}","['k', 'e', 't']","{""['e', 'l', 's', 'e']"": [['e', 't'], ['w', 'e', 's']], ""['e', 'e']"": [['b', 'i']], ""['th', 'e', 'r', 'f', 'e', 'r']"": [['e', 't']]}"
16,"{'A1': ['A1', 'A2'], 'A2': ['A1'], 'B1': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",can,"{'also': ['it', 'which'], 'how': ['me'], 'therefore': ['it']}","['k', 'e', 't']","{""['e', 'l', 's', 'e']"": [['e', 't'], ['w', 'e', 's']], ""['e', 'e']"": [['b', 'i']], ""['th', 'e', 'r', 'f', 'e', 'r']"": [['e', 't']]}"
17,"{'A1': ['A1', 'A1', 'A1'], 'A2': ['A1', 'A1'], 'B1': ['A1'], 'B2': ['A1', 'A1', 'A1'], 'C1': ['A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",page,"{'first': ['the', 'its', 'their'], 'full': ['a', 'the'], 'following': ['the'], 'editorial': ['the', 'an', 'its'], 'dedicated': ['a']}","['b', 'e', 's']","{""['f', 'r', 's', 't']"": [['th', 'e'], ['e', 't', 's'], ['th', 'e', 'r']], ""['f', 'e', 'l']"": [['e'], ['th', 'e']], ""['f', 'e', 'l', 'e', 'e', 'k']"": [['th', 'e']], ""['e', 't', 'e', 't', 'e', 'r', 'i', 'e', 'l']"": [['th', 'e'], ['e', 't'], ['e', 't', 's']], ""['t', 'e', 't', 'e', 'k', 'e', 't', 'e', 't']"": [['e']]}"
18,"{'A1': ['A1', 'A1', 'A1'], 'A2': ['A1', 'A1'], 'B1': ['A1'], 'B2': ['A1', 'A1', 'A1'], 'C1': ['A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",page,"{'first': ['the', 'its', 'their'], 'full': ['a', 'the'], 'following': ['the'], 'editorial': ['the', 'an', 'its'], 'dedicated': ['a']}","['b', 'e', 's']","{""['f', 'r', 's', 't']"": [['th', 'e'], ['e', 't', 's'], ['th', 'e', 'r']], ""['f', 'e', 'l']"": [['e'], ['th', 'e']], ""['f', 'e', 'l', 'e', 'e', 'k']"": [['th', 'e']], ""['e', 't', 'e', 't', 'e', 'r', 'i', 'e', 'l']"": [['th', 'e'], ['e', 't'], ['e', 't', 's']], ""['t', 'e', 't', 'e', 'k', 'e', 't', 'e', 't']"": [['e']]}"
19,"{'A1': ['A1', 'A1', 'A1'], 'A2': ['A1', 'A1'], 'B1': ['A1'], 'B2': ['A1', 'A1', 'A1'], 'C1': ['A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",page,"{'first': ['the', 'its', 'their'], 'full': ['a', 'the'], 'following': ['the'], 'editorial': ['the', 'an', 'its'], 'dedicated': ['a']}","['b', 'e', 's']","{""['f', 'r', 's', 't']"": [['th', 'e'], ['e', 't', 's'], ['th', 'e', 'r']], ""['f', 'e', 'l']"": [['e'], ['th', 'e']], ""['f', 'e', 'l', 'e', 'e', 'k']"": [['th', 'e']], ""['e', 't', 'e', 't', 'e', 'r', 'i', 'e', 'l']"": [['th', 'e'], ['e', 't'], ['e', 't', 's']], ""['t', 'e', 't', 'e', 'k', 'e', 't', 'e', 't']"": [['e']]}"
20,{},VERB,1.0,"['PRON', 'VERB', 'ADV']",search,{},"['s', 'r', 's']",{}
21,{},VERB,1.0,"['PRON', 'VERB', 'ADV']",search,{},"['s', 'r', 's']",{}
22,{},VERB,1.0,"['PRON', 'VERB', 'ADV']",search,{},"['s', 'r', 's']",{}
23,{},VERB,1.0,"['PRON', 'VERB', 'ADV']",search,{},"['s', 'r', 's']",{}
24,"{'A1': ['A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1']}",ADJ,1.0,"['DET', 'ADJ', 'NOUN']",free,"{'radio': ['that'], 'album': ['the', 'his', 'their'], 'union': ['the', 'a']}","['f', 'r', 'i']","{""['r', 'e', 't', 'i', 'e']"": [['th', 'e', 't']], ""['e', 'l', 'b', 'e', 'b']"": [['th', 'e'], ['e', 'e', 's'], ['th', 'e', 'r']], ""['e', 'u', 't', 'e', 'e', 't']"": [['th', 'e'], ['e']]}"
25,"{'A1': ['A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1']}",ADJ,1.0,"['DET', 'ADJ', 'NOUN']",free,"{'radio': ['that'], 'album': ['the', 'his', 'their'], 'union': ['the', 'a']}","['f', 'r', 'i']","{""['r', 'e', 't', 'i', 'e']"": [['th', 'e', 't']], ""['e', 'l', 'b', 'e', 'b']"": [['th', 'e'], ['e', 'e', 's'], ['th', 'e', 'r']], ""['e', 'u', 't', 'e', 'e', 't']"": [['th', 'e'], ['e']]}"
26,"{'A1': ['A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1']}",ADJ,1.0,"['DET', 'ADJ', 'NOUN']",free,"{'radio': ['that'], 'album': ['the', 'his', 'their'], 'union': ['the', 'a']}","['f', 'r', 'i']","{""['r', 'e', 't', 'i', 'e']"": [['th', 'e', 't']], ""['e', 'l', 'b', 'e', 'b']"": [['th', 'e'], ['e', 'e', 's'], ['th', 'e', 'r']], ""['e', 'u', 't', 'e', 'e', 't']"": [['th', 'e'], ['e']]}"
27,"{'A1': ['A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1']}",ADJ,1.0,"['DET', 'ADJ', 'NOUN']",free,"{'radio': ['that'], 'album': ['the', 'his', 'their'], 'union': ['the', 'a']}","['f', 'r', 'i']","{""['r', 'e', 't', 'i', 'e']"": [['th', 'e', 't']], ""['e', 'l', 'b', 'e', 'b']"": [['th', 'e'], ['e', 'e', 's'], ['th', 'e', 'r']], ""['e', 'u', 't', 'e', 'e', 't']"": [['th', 'e'], ['e']]}"
28,"{'A1': ['A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1']}",ADJ,1.0,"['DET', 'ADJ', 'NOUN']",free,"{'radio': ['that'], 'album': ['the', 'his', 'their'], 'union': ['the', 'a']}","['f', 'r', 'i']","{""['r', 'e', 't', 'i', 'e']"": [['th', 'e', 't']], ""['e', 'l', 'b', 'e', 'b']"": [['th', 'e'], ['e', 'e', 's'], ['th', 'e', 'r']], ""['e', 'u', 't', 'e', 'e', 't']"": [['th', 'e'], ['e']]}"
29,"{'A1': ['A1', 'A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'B2': ['A1', 'A1', 'A1'], 'C1': ['A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",time,"{'first': ['the', 'my', 'a'], 'last': ['the', 'this', 'a'], 'local': ['the', 'their', 'a'], 'prime': ['the', 'a', 'its'], 'consecutive': ['the']}","['t', 'e', 'b']","{""['f', 'r', 's', 't']"": [['th', 'e'], ['b', 'e'], ['e']], ""['l', 'e', 's', 't']"": [['th', 'e'], ['th', 'e', 's'], ['e']], ""['l', 'e', 'k', 'e', 'l']"": [['th', 'e'], ['th', 'e', 'r'], ['e']], ""['b', 'r', 'e', 'b']"": [['th', 'e'], ['e'], ['e', 't', 's']], ""['k', 'e', 't', 's', 'e', 'k', 'e', 'e', 't', 'e', 'f']"": [['th', 'e']]}"
30,"{'A1': ['A1', 'A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'B2': ['A1', 'A1', 'A1'], 'C1': ['A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",time,"{'first': ['the', 'my', 'a'], 'last': ['the', 'this', 'a'], 'local': ['the', 'their', 'a'], 'prime': ['the', 'a', 'its'], 'consecutive': ['the']}","['t', 'e', 'b']","{""['f', 'r', 's', 't']"": [['th', 'e'], ['b', 'e'], ['e']], ""['l', 'e', 's', 't']"": [['th', 'e'], ['th', 'e', 's'], ['e']], ""['l', 'e', 'k', 'e', 'l']"": [['th', 'e'], ['th', 'e', 'r'], ['e']], ""['b', 'r', 'e', 'b']"": [['th', 'e'], ['e'], ['e', 't', 's']], ""['k', 'e', 't', 's', 'e', 'k', 'e', 'e', 't', 'e', 'f']"": [['th', 'e']]}"
31,"{'A1': ['A1', 'A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'B2': ['A1', 'A1', 'A1'], 'C1': ['A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",time,"{'first': ['the', 'my', 'a'], 'last': ['the', 'this', 'a'], 'local': ['the', 'their', 'a'], 'prime': ['the', 'a', 'its'], 'consecutive': ['the']}","['t', 'e', 'b']","{""['f', 'r', 's', 't']"": [['th', 'e'], ['b', 'e'], ['e']], ""['l', 'e', 's', 't']"": [['th', 'e'], ['th', 'e', 's'], ['e']], ""['l', 'e', 'k', 'e', 'l']"": [['th', 'e'], ['th', 'e', 'r'], ['e']], ""['b', 'r', 'e', 'b']"": [['th', 'e'], ['e'], ['e', 't', 's']], ""['k', 'e', 't', 's', 'e', 'k', 'e', 'e', 't', 'e', 'f']"": [['th', 'e']]}"
32,"{'A1': ['A1', 'A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'B2': ['A1', 'A1', 'A1'], 'C1': ['A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",time,"{'first': ['the', 'my', 'a'], 'last': ['the', 'this', 'a'], 'local': ['the', 'their', 'a'], 'prime': ['the', 'a', 'its'], 'consecutive': ['the']}","['t', 'e', 'b']","{""['f', 'r', 's', 't']"": [['th', 'e'], ['b', 'e'], ['e']], ""['l', 'e', 's', 't']"": [['th', 'e'], ['th', 'e', 's'], ['e']], ""['l', 'e', 'k', 'e', 'l']"": [['th', 'e'], ['th', 'e', 'r'], ['e']], ""['b', 'r', 'e', 'b']"": [['th', 'e'], ['e'], ['e', 't', 's']], ""['k', 'e', 't', 's', 'e', 'k', 'e', 'e', 't', 'e', 'f']"": [['th', 'e']]}"
33,"{'A1': ['A1', 'A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'B2': ['A1', 'A1', 'A1'], 'C1': ['A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",time,"{'first': ['the', 'my', 'a'], 'last': ['the', 'this', 'a'], 'local': ['the', 'their', 'a'], 'prime': ['the', 'a', 'its'], 'consecutive': ['the']}","['t', 'e', 'b']","{""['f', 'r', 's', 't']"": [['th', 'e'], ['b', 'e'], ['e']], ""['l', 'e', 's', 't']"": [['th', 'e'], ['th', 'e', 's'], ['e']], ""['l', 'e', 'k', 'e', 'l']"": [['th', 'e'], ['th', 'e', 'r'], ['e']], ""['b', 'r', 'e', 'b']"": [['th', 'e'], ['e'], ['e', 't', 's']], ""['k', 'e', 't', 's', 'e', 'k', 'e', 'e', 't', 'e', 'f']"": [['th', 'e']]}"
34,"{'A1': ['A1', 'A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'B2': ['A1', 'A1', 'A1'], 'C1': ['A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",time,"{'first': ['the', 'my', 'a'], 'last': ['the', 'this', 'a'], 'local': ['the', 'their', 'a'], 'prime': ['the', 'a', 'its'], 'consecutive': ['the']}","['t', 'e', 'b']","{""['f', 'r', 's', 't']"": [['th', 'e'], ['b', 'e'], ['e']], ""['l', 'e', 's', 't']"": [['th', 'e'], ['th', 'e', 's'], ['e']], ""['l', 'e', 'k', 'e', 'l']"": [['th', 'e'], ['th', 'e', 'r'], ['e']], ""['b', 'r', 'e', 'b']"": [['th', 'e'], ['e'], ['e', 't', 's']], ""['k', 'e', 't', 's', 'e', 'k', 'e', 'e', 't', 'e', 'f']"": [['th', 'e']]}"
35,"{'A1': ['A1', 'A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'B2': ['A1', 'A1', 'A1'], 'C1': ['A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",time,"{'first': ['the', 'my', 'a'], 'last': ['the', 'this', 'a'], 'local': ['the', 'their', 'a'], 'prime': ['the', 'a', 'its'], 'consecutive': ['the']}","['t', 'e', 'b']","{""['f', 'r', 's', 't']"": [['th', 'e'], ['b', 'e'], ['e']], ""['l', 'e', 's', 't']"": [['th', 'e'], ['th', 'e', 's'], ['e']], ""['l', 'e', 'k', 'e', 'l']"": [['th', 'e'], ['th', 'e', 'r'], ['e']], ""['b', 'r', 'e', 'b']"": [['th', 'e'], ['e'], ['e', 't', 's']], ""['k', 'e', 't', 's', 'e', 'k', 'e', 'e', 't', 'e', 'f']"": [['th', 'e']]}"
36,"{'A1': ['A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'B2': ['A1'], 'C1': ['A1', 'A1', 'A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",site,"{'same': ['the', 'this'], 'active': ['the', 'an', 'its'], 'historic': ['a', 'the', 'an'], 'biological': ['a'], 'sacred': ['a', 'the', 'their']}","['s', 'e', 't']","{""['s', 'e', 'b']"": [['th', 'e'], ['th', 'e', 's']], ""['e', 'k', 't', 'e', 'f']"": [['th', 'e'], ['e', 't'], ['e', 't', 's']], ""['e', 'e', 's', 't', 'e', 'r', 'e', 'k']"": [['e'], ['th', 'e'], ['e', 't']], ""['b', 'e', 'e', 'l', 'e', 's', 'e', 'k', 'e', 'l']"": [['e']], ""['s', 'e', 'k', 'r', 'e', 't']"": [['e'], ['th', 'e'], ['th', 'e', 'r']]}"
37,"{'A1': ['A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'B2': ['A1'], 'C1': ['A1', 'A1', 'A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",site,"{'same': ['the', 'this'], 'active': ['the', 'an', 'its'], 'historic': ['a', 'the', 'an'], 'biological': ['a'], 'sacred': ['a', 'the', 'their']}","['s', 'e', 't']","{""['s', 'e', 'b']"": [['th', 'e'], ['th', 'e', 's']], ""['e', 'k', 't', 'e', 'f']"": [['th', 'e'], ['e', 't'], ['e', 't', 's']], ""['e', 'e', 's', 't', 'e', 'r', 'e', 'k']"": [['e'], ['th', 'e'], ['e', 't']], ""['b', 'e', 'e', 'l', 'e', 's', 'e', 'k', 'e', 'l']"": [['e']], ""['s', 'e', 'k', 'r', 'e', 't']"": [['e'], ['th', 'e'], ['th', 'e', 'r']]}"
38,"{'A1': ['A1', 'A1'], 'A2': ['A1', 'A1', 'A1'], 'B1': ['A1', 'A1', 'A1'], 'B2': ['A1'], 'C1': ['A1', 'A1', 'A1']}",NOUN,2.0,"['DET', 'ADJ', 'NOUN']",site,"{'same': ['the', 'this'], 'active': ['the', 'an', 'its'], 'historic': ['a', 'the', 'an'], 'biological': ['a'], 'sacred': ['a', 'the', 'their']}","['s', 'e', 't']","{""['s', 'e', 'b']"": [['th', 'e'], ['th', 'e', 's']], ""['e', 'k', 't', 'e', 'f']"": [['th', 'e'], ['e', 't'], ['e', 't', 's']], ""['e', 'e', 's', 't', 'e', 'r', 'e', 'k']"": [['e'], ['th', 'e'], ['e', 't']], ""['b', 'e', 'e', 'l', 'e', 's', 'e', 'k', 'e', 'l']"": [['e']], ""['s', 'e', 'k', 'r', 'e', 't']"": [['e'], ['th', 'e'], ['th', 'e', 'r']]}"
39,"{'A1': ['A1', 'A2', 'B1'], 'A2': ['A1', 'A2'], 'B1': ['A1', 'A2'], 'B2': ['A1', 'A2']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",may,"{'also': ['it', 'which', 'others'], 'since': ['there', 'which'], 'therefore': ['it', 'which'], 'thus': ['who', 'which']}","['b', 'e']","{""['e', 'l', 's', 'e']"": [['e', 't'], ['w', 'e', 's'], ['e', 'th', 'r', 's']], ""['s', 'e', 't', 's']"": [['th', 'e', 'r'], ['w', 'e', 's']], ""['th', 'e', 'r', 'f', 'e', 'r']"": [['e', 't'], ['w', 'e', 's']], ""['th', 'e', 's']"": [['e', 'u'], ['w', 'e', 's']]}"
40,"{'A1': ['A1', 'A2', 'B1'], 'A2': ['A1', 'A2'], 'B1': ['A1', 'A2'], 'B2': ['A1', 'A2']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",may,"{'also': ['it', 'which', 'others'], 'since': ['there', 'which'], 'therefore': ['it', 'which'], 'thus': ['who', 'which']}","['b', 'e']","{""['e', 'l', 's', 'e']"": [['e', 't'], ['w', 'e', 's'], ['e', 'th', 'r', 's']], ""['s', 'e', 't', 's']"": [['th', 'e', 'r'], ['w', 'e', 's']], ""['th', 'e', 'r', 'f', 'e', 'r']"": [['e', 't'], ['w', 'e', 's']], ""['th', 'e', 's']"": [['e', 'u'], ['w', 'e', 's']]}"
41,"{'A1': ['A1'], 'A2': ['A1'], 'B1': ['A1', 'A2'], 'B2': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",use,"{'not': ['you'], 'usually': ['they'], 'typically': ['they', 'which'], 'further': ['any']}","['e', 'u', 's']","{""['t', 'e', 't']"": [['e', 'u']], ""['e', 'u', 's', 'e', 'w', 'e', 'l', 'i']"": [['th', 'e']], ""['t', 'e', 'b', 'e', 'k', 'l', 'i']"": [['th', 'e'], ['w', 'e', 's']], ""['f', 'r', 'th', 'r']"": [['e', 't', 'i']]}"
42,"{'A1': ['A1'], 'A2': ['A1'], 'B1': ['A1', 'A2'], 'B2': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",use,"{'not': ['you'], 'usually': ['they'], 'typically': ['they', 'which'], 'further': ['any']}","['e', 'u', 's']","{""['t', 'e', 't']"": [['e', 'u']], ""['e', 'u', 's', 'e', 'w', 'e', 'l', 'i']"": [['th', 'e']], ""['t', 'e', 'b', 'e', 'k', 'l', 'i']"": [['th', 'e'], ['w', 'e', 's']], ""['f', 'r', 'th', 'r']"": [['e', 't', 'i']]}"
43,"{'A1': ['A1'], 'A2': ['A1'], 'B1': ['A1', 'A2'], 'B2': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",use,"{'not': ['you'], 'usually': ['they'], 'typically': ['they', 'which'], 'further': ['any']}","['e', 'u', 's']","{""['t', 'e', 't']"": [['e', 'u']], ""['e', 'u', 's', 'e', 'w', 'e', 'l', 'i']"": [['th', 'e']], ""['t', 'e', 'b', 'e', 'k', 'l', 'i']"": [['th', 'e'], ['w', 'e', 's']], ""['f', 'r', 'th', 'r']"": [['e', 't', 'i']]}"
44,"{'A1': ['A1'], 'A2': ['A1'], 'B1': ['A1', 'A2'], 'B2': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",use,"{'not': ['you'], 'usually': ['they'], 'typically': ['they', 'which'], 'further': ['any']}","['e', 'u', 's']","{""['t', 'e', 't']"": [['e', 'u']], ""['e', 'u', 's', 'e', 'w', 'e', 'l', 'i']"": [['th', 'e']], ""['t', 'e', 'b', 'e', 'k', 'l', 'i']"": [['th', 'e'], ['w', 'e', 's']], ""['f', 'r', 'th', 'r']"": [['e', 't', 'i']]}"
45,"{'A1': ['A1'], 'A2': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",see,"{'not': ['me'], 'ever': ['you']}","['s', 'i']","{""['t', 'e', 't']"": [['b', 'i']], ""['e', 'f', 'r']"": [['e', 'u']]}"
46,"{'A1': ['A1'], 'A2': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",see,"{'not': ['me'], 'ever': ['you']}","['s', 'i']","{""['t', 'e', 't']"": [['b', 'i']], ""['e', 'f', 'r']"": [['e', 'u']]}"
47,"{'A1': ['A1'], 'A2': ['A1']}",VERB,1.0,"['PRON', 'VERB', 'ADV']",see,"{'not': ['me'], 'ever': ['you']}","['s', 'i']","{""['t', 'e', 't']"": [['b', 'i']], ""['e', 'f', 'r']"": [['e', 'u']]}"
